1485	-26,24
1485,05	-26,114
1485,1	-26,091
1485,15	-26,151
1485,2	-25,907
1485,25	-26,066
1485,3	-26,315
1485,35	-26,101
1485,4	-26,027
1485,45	-26,111
1485,5	-25,966
1485,55	-25,695
1485,6	-26,099
1485,65	-25,93
1485,7	-26,001
1485,75	-26,072
1485,8	-25,929
1485,85	-26,027
1485,9	-26,055
1485,95	-25,916
1486	-26,061
1486,05	-25,833
1486,1	-26,082
1486,15	-25,846
1486,2	-26,146
1486,25	-25,924
1486,3	-26,058
1486,35	-26,134
1486,4	-25,956
1486,45	-26,042
1486,5	-26,051
1486,55	-25,904
1486,6	-25,862
1486,65	-25,883
1486,7	-25,879
1486,75	-25,99
1486,8	-26,079
1486,85	-26,042
1486,9	-25,714
1486,95	-25,905
1487	-25,9
1487,05	-25,955
1487,1	-25,989
1487,15	-25,696
1487,2	-25,826
1487,25	-25,59
1487,3	-25,918
1487,35	-25,906
1487,4	-25,905
1487,45	-25,827
1487,5	-25,817
1487,55	-26,123
1487,6	-25,932
1487,65	-25,791
1487,7	-25,892
1487,75	-25,796
1487,8	-25,723
1487,85	-25,824
1487,9	-25,86
1487,95	-25,928
1488	-25,672
1488,05	-25,871
1488,1	-25,739
1488,15	-25,899
1488,2	-25,787
1488,25	-25,497
1488,3	-25,591
1488,35	-25,588
1488,4	-25,773
1488,45	-25,867
1488,5	-25,873
1488,55	-25,638
1488,6	-25,756
1488,65	-25,641
1488,7	-25,516
1488,75	-25,527
1488,8	-25,815
1488,85	-25,715
1488,9	-25,978
1488,95	-25,945
1489	-25,845
1489,05	-25,764
1489,1	-25,581
1489,15	-25,436
1489,2	-25,405
1489,25	-25,695
1489,3	-25,544
1489,35	-25,537
1489,4	-25,577
1489,45	-25,492
1489,5	-25,609
1489,55	-25,454
1489,6	-25,75
1489,65	-25,508
1489,7	-25,572
1489,75	-25,711
1489,8	-25,508
1489,85	-25,676
1489,9	-25,704
1489,95	-25,449
1490	-25,568
1490,05	-25,699
1490,1	-25,716
1490,15	-25,476
1490,2	-25,658
1490,25	-25,498
1490,3	-25,542
1490,35	-25,783
1490,4	-25,403
1490,45	-25,501
1490,5	-25,539
1490,55	-25,686
1490,6	-25,418
1490,65	-25,401
1490,7	-25,559
1490,75	-25,745
1490,8	-25,301
1490,85	-25,639
1490,9	-25,518
1490,95	-25,658
1491	-25,518
1491,05	-25,625
1491,1	-25,68
1491,15	-25,37
1491,2	-25,444
1491,25	-25,49
1491,3	-25,386
1491,35	-25,507
1491,4	-25,588
1491,45	-25,555
1491,5	-25,546
1491,55	-25,553
1491,6	-25,294
1491,65	-25,321
1491,7	-25,537
1491,75	-25,209
1491,8	-25,324
1491,85	-25,632
1491,9	-25,48
1491,95	-25,419
1492	-25,499
1492,05	-25,32
1492,1	-25,32
1492,15	-25,32
1492,2	-25,785
1492,25	-25,637
1492,3	-25,52
1492,35	-25,35
1492,4	-25,494
1492,45	-25,402
1492,5	-25,515
1492,55	-25,282
1492,6	-25,574
1492,65	-25,444
1492,7	-25,53
1492,75	-25,322
1492,8	-25,234
1492,85	-25,153
1492,9	-25,216
1492,95	-25,397
1493	-25,28
1493,05	-25,207
1493,1	-25,156
1493,15	-25,425
1493,2	-25,374
1493,25	-25,274
1493,3	-25,191
1493,35	-25,524
1493,4	-25,55
1493,45	-25,266
1493,5	-25,27
1493,55	-25,489
1493,6	-25,173
1493,65	-25,385
1493,7	-25,254
1493,75	-25,154
1493,8	-25,322
1493,85	-25,178
1493,9	-25,385
1493,95	-25,378
1494	-25,238
1494,05	-25,186
1494,1	-25,338
1494,15	-25,286
1494,2	-25,411
1494,25	-25,243
1494,3	-25,328
1494,35	-25,339
1494,4	-25,267
1494,45	-25,128
1494,5	-25,3
1494,55	-25,076
1494,6	-25,199
1494,65	-25,113
1494,7	-25,112
1494,75	-25,209
1494,8	-25,164
1494,85	-25,362
1494,9	-25,333
1494,95	-25,443
1495	-25,243
1495,05	-25,381
1495,1	-25,138
1495,15	-25,322
1495,2	-25,263
1495,25	-25,331
1495,3	-25,272
1495,35	-25,224
1495,4	-25,293
1495,45	-25,312
1495,5	-25,277
1495,55	-25,25
1495,6	-25,141
1495,65	-25,218
